phase,query_name,redis_command,calls_delta,usec_delta,avg_usec_per_call,rejected_calls_delta,failed_calls_delta,calls_per_logical_request,usec_per_logical_request
warmup,__warmup_mixed__,smembers,186,76765,412.71505376344084,0,0,0.93000000000000005,383.82499999999999
warmup,__warmup_mixed__,exists,19,56,2.9473684210526314,0,0,0.095000000000000001,0.28000000000000003
warmup,__warmup_mixed__,info,1,65,65,0,0,0.0050000000000000001,0.32500000000000001
warmup,__warmup_mixed__,hgetall,1075210,552748,0.5140837603816929,0,0,5376.0500000000002,2763.7399999999998
warmup,__warmup_mixed__,select,1,2,2,0,0,0.0050000000000000001,0.01
warmup,__warmup_mixed__,sscan,306,3331,10.88562091503268,0,0,1.53,16.655000000000001
warmup,__warmup_mixed__,scan,3636,754097,207.39741474147414,0,0,18.18,3770.4850000000001
benchmark,__benchmark_mixed__,select,1,1,1,0,0,9.0909090909090904E-05,9.0909090909090904E-05
benchmark,__benchmark_mixed__,ping,12,10,0.83333333333333337,0,0,0.001090909090909091,0.00090909090909090909
benchmark,__benchmark_mixed__,smembers,10005,4178464,417.63758120939531,0,0,0.90954545454545455,379.86036363636362
benchmark,__benchmark_mixed__,exists,1000,3565,3.5649999999999999,0,0,0.090909090909090912,0.3240909090909091
benchmark,__benchmark_mixed__,sscan,17000,184311,10.841823529411764,0,0,1.5454545454545454,16.755545454545455
benchmark,__benchmark_mixed__,info,13,276,21.23076923076923,0,0,0.0011818181818181819,0.025090909090909091
benchmark,__benchmark_mixed__,hgetall,59721853,30918286,0.51770473364247427,0,0,5429.2593636363636,2810.7532727272728
benchmark,__benchmark_mixed__,scan,202000,41561448,205.74974257425743,0,0,18.363636363636363,3778.3134545454545
