db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
redis,warmup,q1_user_by_id,0.67590859999999997,19,19,0,28.110309589195936,15.356400000000001,161.81903999999997,172.830288,1,19,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,warmup,q2_all_users,0.86346090000000009,19,19,0,22.004470613550652,18.161300000000001,176.40709000000001,178.79453800000002,200,3800,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,warmup,q3_user_by_login,1.5120586999999999,18,18,0,11.904299747093154,126.5654,162.25395499999999,173.32551099999998,1,18,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,warmup,q4_sellers_rating,2.3021029000000004,18,18,0,7.8189380674512838,124.60945,141.66293499999995,169.00634699999992,100,1800,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,warmup,q5_orders_offset,0.68133079999999979,18,18,0,26.418884923446885,37.58775,53.630754999999994,55.518230999999993,50,900,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,warmup,q6_products_by_seller,0.67453019999999997,18,18,0,26.685239593423692,31.087200000000003,98.630704999999878,157.32742099999984,0.94444444444444442,17,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,warmup,q7_products_join_sellers,0.57190899999999989,18,18,0,31.473538622403222,13.936999999999999,95.493519999999847,164.29918399999983,1.4444444444444444,26,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,warmup,q8_order_items_join_products,0.79793720000000012,18,18,0,22.558166231628249,20.92005,184.82140999999996,202.64244199999996,2.6111111111111112,47,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,warmup,q9_orders_items_products_by_user,2.3859587999999996,18,18,0,7.5441369733626598,49.102800000000002,487.70260999999982,577.68932199999983,3.5,63,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,warmup,q10_top_sellers_qty,46.729887300000009,18,18,0,0.38519245476545366,2771.3182000000002,3028.1417249999995,3158.6347449999994,20,360,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,warmup,q11_top_categories,23.883455800000004,18,18,0,0.7536597781632588,1380.4167,1570.9555600000001,1592.0140719999999,10,180,0.315,0.39000000000000001,1.9099999999999999,1.9299999999999999,2147483648,50000000,140000000,0,0
redis,benchmark,q1_user_by_id,5098.185187,1000,1000,0,82.143038943004356,6.9816000000000003,33.437400000000004,61.718637999999977,1,1000,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
redis,benchmark,q2_all_users,24.404487799999998,1000,1000,0,40.976069983324955,17.563500000000001,63.909959999999998,107.44736099999996,200,200000,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
redis,benchmark,q3_user_by_login,15.455884100000006,1000,1000,0,64.700278129026572,10.498200000000001,44.856799999999993,123.41627599999994,1,1000,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
redis,benchmark,q4_sellers_rating,126.75658769999997,1000,1000,0,7.8891363213937344,122.80924999999999,153.683955,176.37626499999999,100,100000,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
redis,benchmark,q5_orders_offset,47.424467299999968,1000,1000,0,21.086161994696791,42.68065,80.719384999999988,126.828858,50,50000,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
redis,benchmark,q6_products_by_seller,15.884013699999995,1000,1000,0,62.956379847494105,9.913450000000001,52.982304999999954,93.847757999999999,1.04,1040,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
redis,benchmark,q7_products_join_sellers,19.875926400000001,1000,1000,0,50.312120294428134,13.85525,66.015209999999982,99.608668999999978,1.04,1040,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
redis,benchmark,q8_order_items_join_products,32.639467300000007,1000,1000,0,30.637754924388727,20.931100000000001,89.09716499999999,115.125158,3.0289999999999999,3029,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
redis,benchmark,q9_orders_items_products_by_user,69.108869299999967,1000,1000,0,14.469922748396066,51.958799999999997,183.25019999999998,260.8302809999999,3.0350000000000001,3035,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
redis,benchmark,q10_top_sellers_qty,3145.0016063000025,1000,1000,0,0.31796486144770819,3156.0646499999998,3313.0182100000002,3386.6884739999996,20,20000,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
redis,benchmark,q11_top_categories,1589.4599907999998,1000,1000,0,0.62914449296498776,1593.3348999999998,1698.4803550000001,1752.9189469999999,10,10000,0.32666666666666666,0.39000000000000001,1.9266666666666665,1.9399999999999999,2147483648,2590000000,7330000000,0,0
